rated,turns,winner,white_rating,black_rating,moves,opening_name,opening_eco
True,80,draw,1308,1526,b1c3 d7d5 c3d5 g8f6 d5c7 e8d7 c7a8 e7e5 g1f3 f8c5 d2d4 e5d4 f3d4 c5d4 a8c7 d8c7 c1f4 d7e6 d1d4 b8d7 d4f6 e6f6 f4c7 h8d8 e2e3 d7b6 c7b6 c8e6 b6d4 f6e7 a1d1 e6a2 f1c4 h7h6 d4g7 d8d1 e1e2 d1h1 c4a2 e7d7 a2b3 d7c7 b3f7 b7b6 e3e4 c7b7 f7b3 b7b8 f2f3 h1a1 g7h6 a1f1 h6e3 f1b1 h2h3 b1d1 e3b6 a7b6 b3f7 d1d3 c2d3 b8c7 f7e6 c7b8 e2e1 b8c7 e6g4 b6b5 d3d4 b5b4 e1f2 c7b8 g4e6 b8b7 e6c4 b7b8 e4e5 b8c8 f2g1 b4b3,Generated,A00
True,80,draw,1337,2186,g1f3 d7d5 d2d4 b8c6 e2e4 c6d4 d1e2 d4f3 g2f3 e7e5 e4d5 g8f6 b2b3 d8d5 b1c3 d5f3 e2e5 f8e7 e5f6 f3f4 f6g7 f4h2 g7g4 h2f2 e1d1 c8g4 f1e2 b7b6 h1h5 e8g8 h5h7 e7d6 h7f7 f2f7 c1b2 g4d7 c3e4 f7b3 c2b3 f8f5 b3b4 f5f7 e2d3 d6b4 a1c1 a8c8 b2f6 d7c6 c1c6 f7f6 c6f6 a7a5 f6g6 g8f8 g6g4 c8e8 d1c1 e8e4 g4e4 b4d6 c1b1 f8g7 e4e7 g7h8 e7g7 d6a3 g7e7 a3e7 a2a3 e7c5 d3f5 c5d4 f5e6 h8g7 e6c4 d4e5 c4e6 e5d6 e6d5 a5a4,Generated,A00
True,80,draw,1539,1631,d2d4 e7e5 b1c3 e5d4 g1f3 d4c3 b2c3 g8e7 c1e3 b8c6 c3c4 d7d6 d1d5 c8f5 d5d6 d8d6 a1d1 c6e5 d1d6 e5f3 g2f3 f5c2 f1g2 c7d6 e3a7 e8c8 e2e4 d6d5 e4d5 e7d5 c4d5 d8d5 e1g1 d5g5 a7e3 c2d3 e3g5 f8c5 f1d1 c5f2 g1f2 d3e4 f2g1 e4f3 g5e3 f3d1 e3g5 h7h6 g5f4 d1e2 g2b7 c8b7 a2a3 b7a8 f4e5 h8b8 e5b8 a8b8 h2h3 g7g5 h3h4 g5g4 g1h1 e2c4 h4h5 b8a8 a3a4 c4b3 h1g1 b3a4 g1g2 a4c6 g2f2 a8b8 f2g3 c6h1 g3f2 h1b7 f2e1 b7e4,Generated,A00
True,80,draw,1650,1905,e2e4 b8c6 b1c3 g8f6 g1h3 g7g5 h3f4 f6d5 e4d5 g5f4 d5c6 b7c6 d2d3 e7e6 c1d2 f8d6 c3d5 c6d5 d1g4 e6e5 g4d7 d8d7 e1c1 d5d4 d2e3 d4e3 d3d4 d6e7 f2e3 d7d4 e3d4 e5d4 c1b1 c8f5 f1b5 e8d8 b5d3 f4f3 d3f5 f3f2 d1d4 e7d6 f5h7 f2f1q h1f1 h8h7 d4b4 h7h2 f1f7 d6f8 f7c7 f8e7 b4g4 h2g2 g4g2 d8c7 a2a3 e7a3 b2a3 c7b8 g2g3 b8b7 g3g8 a8e8 g8e8 a7a6 e8f8 b7a7 f8f7 a7b6 a3a4 a6a5 f7b7 b6c6 b7e7 c6b6 e7e4 b6c7 e4e7 c7c8,Generated,A00
True,23,white,1915,1782,g1f3 b8c6 d2d4 d7d6 e2e4 e7e5 d4e5 d6e5 d1e2 g8e7 b1c3 d8d3 f3e5 c6a5 e2d3 a5b3 a2b3 c8d7 a1a7 e7f5 e5g4 e8c8 a7a8,Generated,A00
True,80,draw,1852,1657,g1f3 g8f6 b1c3 b8c6 e2e4 e7e5 f1c4 c6b4 d2d4 f6e4 f3e5 b4a2 c3e4 g7g6 a1a2 f8g7 e5f7 g7d4 d1d4 h8f8 d4a7 a8a7 a2a7 b7b6 e1g1 f8f7 c4f7 e8f7 a7c7 f7g7 e4d6 d8e7 c7c8 g6g5 c1g5 e7g5 f1e1 g5c1 c8b8 c1b2 b8b6 b2b6 g2g4 b6d6 e1d1 d6e5 d1c1 d7d5 h2h3 g7g8 c1d1 e5f4 d1b1 h7h5 b1e1 f4f8 g4h5 f8f2 g1f2 g8g7 f2g2 g7f8 h3h4 f8g8 g2g1 d5d4 e1e2 g8h7 e2e3 h7g8 e3b3 d4d3 b3b4 d3d2 b4b1 d2d1n b1d1 g8f8 d1d8 f8e7,Generated,A00
True,80,draw,1513,1541,e2e4 g8f6 g1f3 f6e4 b1c3 e4c3 d2d4 b7b5 b2c3 e7e5 d4e5 b5b4 a2a3 b4a3 c1a3 h7h6 d1d3 d8g5 h2h4 g5h4 f3h4 f8a3 a1a3 h6h5 a3a7 b8c6 a7a8 c6e5 h4f3 d7d5 f3e5 f7f5 a8a5 e8g8 a5a4 d5d4 c3d4 c8b7 g2g4 h5g4 e5g4 f5g4 a4a1 f8c8 a1b1 b7d5 h1h7 d5c6 b1d1 c8a8 h7g7 g8h8 e1d2 c6d5 g7c7 a8a1 f1g2 d5g2 d3e3 h8g8 c7f7 a1a6 f7b7 g2d5 b7f7 a6b6 d2c1 g8f7 d1e1 f7f8 e1e2 f8g7 e3f4 b6b2 e2e1 d5b7 c1b2 g7h8 b2b1 b7e4,Generated,A00
True,41,white,1276,1381,g1f3 g8f6 e2e3 b8c6 d2d4 e7e5 f3e5 c6e5 d4e5 f8c5 b1d2 d7d5 f1c4 e8f8 e5f6 d8f6 e3e4 d5c4 d2c4 c5f2 e1e2 f6b2 c4b2 f2b6 c1f4 f8g8 f4c7 a8b8 c7b6 a7b6 b2d3 c8d7 e4e5 b8e8 h1e1 d7f5 a1c1 e8e5 d3e5 b6b5 d1d8,Generated,A00
True,80,draw,2156,1581,g1f3 g8f6 b1c3 b8a6 e2e3 e7e5 f3e5 f8d6 e5d7 e8d7 d2d4 d6g3 h2g3 a6b4 h1h7 f6h7 d1h5 b4a2 c3a2 h7g5 h5f7 d8e7 a2c3 e7f7 a1a7 f7c4 a7b7 g7g6 c1d2 a8a3 b2a3 c4d4 e3d4 g5f7 d2f4 f7d6 f1e2 c8b7 f4d6 c7d6 c3e4 b7e4 e2f3 h8h5 f3e4 h5h6 e1e2 d7e8 e4g6 h6g6 c2c3 g6f6 a3a4 e8d7 e2f1 f6f2 f1g1 d7c8 c3c4 c8b7 g3g4 f2f6 g1h1 f6f2 h1g1 d6d5 c4d5 f2g2 g1g2 b7b6 g2h1 b6b7 g4g5 b7c7 h1g1 c7b7 d5d6 b7a7 g5g6 a7b8,Generated,A00
True,73,white,1223,1997,g1f3 b8a6 g2g3 a6c5 b1c3 d7d5 f3h4 g8h6 f2f3 c7c6 e2e4 e7e5 e4d5 d8d5 c3d5 c8e6 d2d4 b7b6 c1h6 c6d5 d4e5 e8c8 b2b3 g7h6 h4g6 c5b3 c2b3 f8d6 d1d5 f7g6 d5b5 d8f8 e5d6 c8b8 b5b6 b8a8 f1c4 e6c4 b3c4 f8b8 e1c1 b8b6 d6d7 g6g5 d7d8q b6b8 d8g5 h6g5 a2a3 a7a6 d1d7 h8e8 d7h7 e8e2 c4c5 b8b3 c5c6 b3a3 c6c7 e2f2 f3f4 a3b3 c7c8q b3b8 c8b8 a8b8 f4g5 f2g2 h1f1 g2c2 c1d1 c2h2 f1f8,Generated,A00
